shift_id,date,shift_time,start_time,end_time,role,scheduled_count,actual_available,max_capacity,on_call_available,cost_per_hour,shortage,notes,staffing_percentage,needs_on_call_activation
SHIFT_0001,2026-01-24,Morning,6:00 AM,2:00 PM,ER Physician,8,8,12,3,250,0,Normal operations,100.0,False
SHIFT_0002,2026-01-24,Morning,6:00 AM,2:00 PM,Trauma Nurse,15,15,22,5,65,0,Normal operations,100.0,False
SHIFT_0003,2026-01-24,Morning,6:00 AM,2:00 PM,Respiratory Therapist,4,4,7,2,55,0,Normal operations,100.0,False
SHIFT_0004,2026-01-24,Morning,6:00 AM,2:00 PM,Support Staff,10,10,16,4,35,0,Normal operations,100.0,False
SHIFT_0005,2026-01-24,Afternoon,2:00 PM,10:00 PM,ER Physician,8,8,12,3,250,0,Normal operations,100.0,False
SHIFT_0006,2026-01-24,Afternoon,2:00 PM,10:00 PM,Trauma Nurse,15,15,22,5,65,0,Normal operations,100.0,False
SHIFT_0007,2026-01-24,Afternoon,2:00 PM,10:00 PM,Respiratory Therapist,4,4,7,2,55,0,Normal operations,100.0,False
SHIFT_0008,2026-01-24,Afternoon,2:00 PM,10:00 PM,Support Staff,10,10,16,4,35,0,Normal operations,100.0,False
SHIFT_0009,2026-01-24,Night,10:00 PM,6:00 AM,ER Physician,8,8,12,3,250,0,Normal operations,100.0,False
SHIFT_0010,2026-01-24,Night,10:00 PM,6:00 AM,Trauma Nurse,15,15,22,5,65,0,Normal operations,100.0,False
SHIFT_0011,2026-01-24,Night,10:00 PM,6:00 AM,Respiratory Therapist,4,4,7,2,55,0,Normal operations,100.0,False
SHIFT_0012,2026-01-24,Night,10:00 PM,6:00 AM,Support Staff,10,10,16,4,35,0,Normal operations,100.0,False
SHIFT_0013,2026-01-25,Morning,6:00 AM,2:00 PM,ER Physician,8,6,12,3,250,2,Storm impact,75.0,True
SHIFT_0014,2026-01-25,Morning,6:00 AM,2:00 PM,Trauma Nurse,15,11,22,5,65,4,Storm impact,73.3,True
SHIFT_0015,2026-01-25,Morning,6:00 AM,2:00 PM,Respiratory Therapist,4,3,7,2,55,1,Storm impact,75.0,True
SHIFT_0016,2026-01-25,Morning,6:00 AM,2:00 PM,Support Staff,10,7,16,4,35,3,Storm impact,70.0,True
SHIFT_0017,2026-01-25,Afternoon,2:00 PM,10:00 PM,ER Physician,8,6,12,3,250,2,Storm impact,75.0,True
SHIFT_0018,2026-01-25,Afternoon,2:00 PM,10:00 PM,Trauma Nurse,15,11,22,5,65,4,Storm impact,73.3,True
SHIFT_0019,2026-01-25,Afternoon,2:00 PM,10:00 PM,Respiratory Therapist,4,3,7,2,55,1,Storm impact,75.0,True
SHIFT_0020,2026-01-25,Afternoon,2:00 PM,10:00 PM,Support Staff,10,7,16,4,35,3,Storm impact,70.0,True
SHIFT_0021,2026-01-25,Night,10:00 PM,6:00 AM,ER Physician,8,6,12,3,250,2,Storm impact,75.0,True
SHIFT_0022,2026-01-25,Night,10:00 PM,6:00 AM,Trauma Nurse,15,11,22,5,65,4,Storm impact,73.3,True
SHIFT_0023,2026-01-25,Night,10:00 PM,6:00 AM,Respiratory Therapist,4,3,7,2,55,1,Storm impact,75.0,True
SHIFT_0024,2026-01-25,Night,10:00 PM,6:00 AM,Support Staff,10,7,16,4,35,3,Storm impact,70.0,True
SHIFT_0025,2026-01-26,Morning,6:00 AM,2:00 PM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
SHIFT_0026,2026-01-26,Morning,6:00 AM,2:00 PM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0027,2026-01-26,Morning,6:00 AM,2:00 PM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0028,2026-01-26,Morning,6:00 AM,2:00 PM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0029,2026-01-26,Afternoon,2:00 PM,10:00 PM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
SHIFT_0030,2026-01-26,Afternoon,2:00 PM,10:00 PM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0031,2026-01-26,Afternoon,2:00 PM,10:00 PM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0032,2026-01-26,Afternoon,2:00 PM,10:00 PM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0033,2026-01-26,Night,10:00 PM,6:00 AM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
