event_id,date,event_type,severity_index,patient_volume_spike,top_clinical_categories,critical_supplies_depleted
EVT-0001,2020-01-15,Snowstorm,10,32,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0026,2020-01-20,Flu Season,7,30,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0020,2020-02-02,Super Bowl,8,19,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0012,2020-07-22,Heatwave,7,32,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0027,2020-12-15,Flu Season,7,42,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0002,2020-12-20,Snowstorm,8,36,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0028,2021-01-25,Flu Season,6,41,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0003,2021-02-10,Snowstorm,10,32,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0013,2021-06-28,Heatwave,8,28,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0021,2021-07-11,World Cup,7,22,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0014,2021-08-15,Heatwave,6,21,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
