timestamp,date_str,time_str,hour_of_day,arrivals_last_hour,departures_last_hour,ambulance_arrivals,waiting_patients,patients_in_treatment,admitted_patients_boarding,md_count,nurse_count,clerk_count,bed_occupancy_pct,bed_saturation_index,longest_wait_time_min
2020-01-01 00:00:00,2020-01-01,00:00,0,7,7,0,0,44,14,4,6,2,110.0,1.32,0
2020-01-01 01:00:00,2020-01-01,01:00,1,9,6,0,6,39,9,3,6,2,97.5,1.17,58
2020-01-01 02:00:00,2020-01-01,02:00,2,2,4,0,0,14,2,4,6,2,35.0,0.42,0
2020-01-01 03:00:00,2020-01-01,03:00,3,4,4,0,2,15,3,4,4,2,37.5,0.45,20
2020-01-01 04:00:00,2020-01-01,04:00,4,6,8,1,0,17,5,4,6,2,42.5,0.51,0
2020-01-01 05:00:00,2020-01-01,05:00,5,4,4,1,0,15,3,4,6,2,37.5,0.45,0
2020-01-01 06:00:00,2020-01-01,06:00,6,3,1,1,4,15,3,4,4,2,37.5,0.45,38
2020-01-01 07:00:00,2020-01-01,07:00,7,12,12,3,3,41,11,7,12,4,102.5,1.23,25
2020-01-01 08:00:00,2020-01-01,08:00,8,21,13,4,16,60,15,8,10,4,150.0,1.8,191
2020-01-01 09:00:00,2020-01-01,09:00,9,9,9,1,1,58,13,8,10,4,145.0,1.74,11
2020-01-01 10:00:00,2020-01-01,10:00,10,19,17,4,5,56,11,8,11,4,140.0,1.68,51
2020-01-01 11:00:00,2020-01-01,11:00,11,12,11,3,6,50,5,7,10,4,125.0,1.5,58
2020-01-01 12:00:00,2020-01-01,12:00,12,15,14,1,2,60,15,8,12,4,150.0,1.8,20
2020-01-01 13:00:00,2020-01-01,13:00,13,18,14,6,10,50,5,8,12,4,125.0,1.5,112
2020-01-01 14:00:00,2020-01-01,14:00,14,7,8,2,2,54,9,8,12,4,135.0,1.62,20
2020-01-01 15:00:00,2020-01-01,15:00,15,12,11,3,7,52,7,10,15,5,130.0,1.56,67
2020-01-01 16:00:00,2020-01-01,16:00,16,19,15,3,12,51,6,9,14,5,127.5,1.53,108
2020-01-01 17:00:00,2020-01-01,17:00,17,12,15,0,0,59,14,10,14,5,147.5,1.77,0
2020-01-01 18:00:00,2020-01-01,18:00,18,7,11,1,0,50,5,10,13,5,125.0,1.5,0
2020-01-01 19:00:00,2020-01-01,19:00,19,18,22,4,0,50,5,10,15,5,125.0,1.5,0
2020-01-01 20:00:00,2020-01-01,20:00,20,18,19,3,0,60,15,10,13,5,150.0,1.8,0
2020-01-01 21:00:00,2020-01-01,21:00,21,18,19,5,0,57,12,9,14,5,142.5,1.71,0
2020-01-01 22:00:00,2020-01-01,22:00,22,9,11,1,0,57,12,9,15,5,142.5,1.71,0
2020-01-01 23:00:00,2020-01-01,23:00,23,14,9,4,15,40,10,4,4,2,100.0,1.2,145
2020-01-02 00:00:00,2020-01-02,00:00,0,12,5,0,18,41,11,3,4,2,102.5,1.23,170
2020-01-02 01:00:00,2020-01-02,01:00,1,6,6,2,3,40,10,4,4,2,100.0,1.2,24
2020-01-02 02:00:00,2020-01-02,02:00,2,3,4,1,0,17,5,4,6,2,42.5,0.51,0
2020-01-02 03:00:00,2020-01-02,03:00,3,5,3,1,6,12,0,4,5,2,30.0,0.36,56
2020-01-02 04:00:00,2020-01-02,04:00,4,4,2,1,9,17,5,4,6,2,42.5,0.51,103
2020-01-02 05:00:00,2020-01-02,05:00,5,2,2,0,2,12,0,4,5,2,30.0,0.36,19
2020-01-02 06:00:00,2020-01-02,06:00,6,4,5,0,0,14,2,4,6,2,35.0,0.42,0
2020-01-02 07:00:00,2020-01-02,07:00,7,8,12,2,0,41,11,8,11,4,102.5,1.23,0
2020-01-02 08:00:00,2020-01-02,08:00,8,7,10,1,0,56,11,8,12,4,140.0,1.68,0
2020-01-02 09:00:00,2020-01-02,09:00,9,7,9,0,0,50,5,7,12,4,125.0,1.5,0
2020-01-02 10:00:00,2020-01-02,10:00,10,13,15,0,0,60,15,7,10,4,150.0,1.8,0
2020-01-02 11:00:00,2020-01-02,11:00,11,9,13,3,0,59,14,8,12,4,147.5,1.77,0
2020-01-02 12:00:00,2020-01-02,12:00,12,21,18,4,6,60,15,8,12,4,150.0,1.8,51
2020-01-02 13:00:00,2020-01-02,13:00,13,12,10,1,6,50,5,8,11,4,125.0,1.5,68
